"genus","different"
"ECHITES","no"
"ECHIUM","no"
"ECHUDOSOPHORA","yes"
"ECKLONIA","yes"
"ECLIPTA","no"
"EDGEWORTHIA","no"
"EGERIA","yes"
"EHRETIA","no"
"EKEBERGIA","no"
"ELAEAGNUS","no"
"ELAEIS","no"
"ELAEOCARPUS","no"
"ELAEODENDRON","no"
"ELAEOSELENUM","yes"
"ELEAGIA","yes"
"ELEOCHARIS","no"
"ELEPHANTOPUS","no"
"ELEUTHERINE","no"
"ELMERILLIA","yes"
"ELODEA","yes"
"ELSHOLTZIA","no"
"ELVIRA","yes"
"EMBELIA","no"
"EMILIA","yes"
"EMMENOSPERMUM","yes"
"EMMOTUM","no"
"ENANTIA","yes"
"ENCELIA","no"
"ENCELIOPSIS","no"
"ENDIANDRA","no"
"ENGLERASTRUM","yes"
"ENHYDRA","yes"
"ENICOSTEMMA","yes"
"ENKIANTHUS","no"
"ENTADA","no"
"ENTANDROPHRAGMA","no"
"EPANORA","yes"
"EPERUA","no"
"EPHEDRA","no"
"EPIGAEA","no"
"EPILOBIUM","no"
"EPIMEDIUM","no"
"EPITHELANTHA","no"
"EQUISETUM","no"
"ERANTHIS","no"
"ERECHTITES","no"
"EREMANTHUS","no"
"EREMOCARPUS","yes"
"EREMOPHILA","no"
"EREMOSPARTON","no"
"EREMOSTACHYS","no"
"EREMURUS","no"
"ERICA","yes"
"ERICAMERIA","no"
"ERIGERON","no"
"ERIODERMA","yes"
"ERIODICTYON","no"
"ERIOLEANA","yes"
"ERIOPHYLLUM","no"
"ERIOSTEMON","no"
"ERLANGEA","no"
"ERVATAMIA","yes"
"ERYMANTHUS","yes"
"ERYNGIUM","no"
"ERYSIMUM","no"
"ERYTHRAEA","yes"
"ERYTHROCHITON","no"
"ERYTHRONIUM","no"
"ERYTHROPHLEUM","no"
"ERYTHROXYLON","yes"
"ESCHSCHOLTZIA","yes"
"ESCOBEDIA","no"
"ESPELETIA","no"
"ESPELETIOPSIS","no"
"ESPOSTOA","no"
"ETHULIA","no"
"EUCALYPTUS","no"
"EUCHARIS","no"
"EUCHRESTA","no"
"EUCLEA","no"
"EUCOMIS","no"
"EUCOMMIA","no"
"EUGENIA","yes"
"EUGLENA","yes"
"EUMORPHA","yes"
"EUONYMUS","no"
"EUPATORIADELPHUS","yes"
"EUPATORIUM","no"
"EUPHORBIA","no"
"EUPHRASIA","no"
"EUPOMATIA","no"
"EUPTELEA","no"
"EURYCLES","yes"
"EURYCOMA","no"
"EURYOPS","no"
"EUSCAPHIS","no"
"EUSTOMA","no"
"EUTREPTIELLA","yes"
"EUXYLOPHORA","no"
"EVERNIA","yes"
"EVODIA","no"
"EXCOECARIA","no"
"FABIANA","yes"
"FAGARA","yes"
"FAGAROPSIS","no"
"FAGONIA","no"
"FAGOPYRUM","no"
"FAGUS","no"
"FALCARIA","no"
"FALKENBERGIA","yes"
"FARADAYA","no"
"FARAMEA","no"
"FARFUGIUM","no"
"FATSIA","no"
"FELICIA","yes"
"FERETIA","no"
"FERREIRA","yes"
"FERREYANTHUS","yes"
"FERULA","no"
"FERULAGO","no"
"FESTUCA","no"
"FIBRAURIA","yes"
"FICARIA","no"
"FICUS","yes"
"FILIFOLIUM","no"
"FILIREA","yes"
"FIMBRISTYLIS","no"
"FISSISTIGMA","no"
"FITZROYA","no"
"FLACOURTIA","no"
"FLAVERIA","no"
"FLEISCHMANNIA","no"
"FLEMINGIA","no"
"MOGHANIA","no"
"FLINDERSIA","no"
"FLOURENSIA","no"
"FLUEGGEA","no"
"FOENICULUM","no"
"FOKIENIA","no"
"FOMES","yes"
"FOMITOPSIS","yes"
"FONTANESIA","no"
"FORSYTHIA","no"
"FOUQUIERA","yes"
"FRANSERA","yes"
"FRASERA","no"
"FRAXINUS","no"
"FRITILLARIA","no"
"FRITSCHIELLA","yes"
"FRUCTUS","yes"
"FRULLANIA","no"
"FUCHSIA","yes"
"FUCUS","yes"
"FULGENSIA","yes"
"FUMARIA","no"
"FUNARIA","no"
"FUNKIA","yes"
"FUNTUMIA","no"
"FURCELLARIA","yes"
"FURCRAEA","no"
"FUSARIUM","yes"
"FUSCUS","yes"
"FUSIDIUM","yes"
"GABNERIA","yes"
"GABUNIA","yes"
"GAILLARDIA","no"
"GALANTHUS","no"
"GALEGA","no"
"GALEOPSIS","no"
"GALIPEA","no"
"GALIUM","no"
"GANARIUM","yes"
"GANODERMA","yes"
"GARCINIA","no"
"GARDENIA","no"
"GARDNERIA","no"
"GARRYA","no"
"GARULEUM","no"
"GASCARDIA","yes"
"GASTROLOBIUM","no"
"GAULTHERIA","no"
"GAZANIA","no"
"GEIJERA","no"
"GEISSOSPERMUM","no"
"GELONIUM","no"
"GELSEMIUM","no"
"GENIPA","no"
"GENISTA","no"
"GENTIANA","no"
"GERAEA","no"
"GERANIUM","yes"
"GEOFFROEA","no"
"GERBERA","no"
"GEUM","no"
"GIGARTINA","yes"
"GILMANIELLA","yes"
"GINKGO","yes"
"GINSENG","yes"
"GIRGENSOHNIA","no"
"GLAUCIDIUM","no"
"GLAUCIUM","no"
"GLEDITSIA","no"
"GLIRICIDIA","no"
"GLOBULARIA","no"
"GLOCHIDON","yes"
"GLOMERIS","yes"
"GLORIOSA","no"
"GLOSSOCALYX","no"
"GLOSSOGYNE","no"
"GLYCINE","yes"
"GLYCOSMIS","no"
"GLYCYRRHIZA","no"
"GMELINA","no"
"GNAPHALIUM","no"
"GNETUM","no"
"GNIDIA","no"
"GNOXYS","yes"
"GOCHNATIA","no"
"GOBBELIA","yes"
"GOMPHIDIUS","yes"
"GOMPHOCARPUS","no"
"GONIOMA","no"
"GONIOTHALAMUS","no"
"GONOCARYUM","no"
"GONOCLINIOPSIS","yes"
"GONYAULAX","yes"
"GOODENIA","no"
"GOSSYPIUM","no"
"GOYAZIANTHUS","no"
"GRANGEA","no"
"GRATIOLA","no"
"GRAZELIS","yes"
"GREVILLEA","no"
"GREWIA","no"
"GRIFFONIA","no"
"GRIFOLIA","yes"
"GRINDELIA","no"
"GRISELINIA","no"
"GROSSHEIMIA","yes"
"GROSSWEILERODENDRON","yes"
"GUAIACUM","no"
"GUAREA","no"
"GUATTERIA","no"
"GUAZUMA","no"
"GUETTARDA","no"
"GUEVARIA","no"
"GUIBORTIA","yes"
"GUILLONEA","no"
"GUMMIPHORA","yes"
"GUTIERREZIA","no"
"GYMINDA","no"
"GYMNACRANTHERA","no"
"GYMNEMA","no"
"GYMNOCARPIUM","no"
"GYMNOCLADA","yes"
"GYMNOCOLEA","no"
"GYMNOGONGRUS","yes"
"GYMNOMITRION","no"
"GYMNOSPERMA","yes"
"GYMNOSPERMIUM","no"
"GYMNOSPORIA","no"
"GYMNOSTEMMA","yes"
"XVIII","yes"
"XXXVI","yes"
"XXXVIII","yes"
"XLIII","yes"
"GYMNOSTROMA","yes"
"GYNANDROPSIS","yes"
"GYNOCARDIA","no"
"GYNURA","no"
"GYROMITRA","yes"
"GYPSOPHILA","no"
"GYROCARPUS","no"
"HABRANTHUS","no"
"HABROPETALUM","no"
"HAEMANTHUS","no"
"HAEMODORUM","no"
"HAEMATOMMA","yes"
"HAEMATOXYLON","yes"
"HALFORDIA","yes"
"HALIDONA","yes"
"HALIDRYS","yes"
"HALIMEDA","yes"
"HALIMIUM","no"
"HALLERIA","no"
"HALMIUM","yes"
"HALOSTACHYS","no"
"HALOZYLON","yes"
"HAMAMELIS","no"
"HAMELIA","no"
"HAMMARBYA","no"
"HANDELIA","no"
"HANNOA","no"
"HAPLOCARPHA","no"
"HAPLOPAPPUS","no"
"HAPLOPHYLLUM","no"
"HAPLOPHYTON","no"
"HAPLORMOSIA","no"
"HARDWICKIA","no"
"HARPAGOPHYTUM","yes"
"HARPEPHYLLUM","yes"
"HARPULLIA","no"
"HARRINGTONIA","yes"
"HARRISONIA","no"
"HARTWRIGHTIA","no"
"HARUNGANA","no"
"HAZUNTA","yes"
"HEBECLINIUM","no"
"HEBELOMA","yes"
"HECHTIA","no"
"HEDERA","no"
"HEDERANTHERA","yes"
"HEDLOMA","yes"
"HEDWIGIA","yes"
"HEDYCARYA","no"
"HEDICHIUM","yes"
"HEDYOTIS","no"
"HEDYSARUM","no"
"HEIMIA","no"
"HELENIUM","no"
"HELIABRAVOA","yes"
"HELIANTHELLA","no"
"HELIANTHUS","no"
"HELICHRYSUM","no"
"HELICIA","no"
"HELICOBASIDIUM","yes"
"HELIETTA","no"
"HELIOPSIS","no"
"HELIOTROPIUM","no"
"HELLEBORUS","no"
"HELMINTHOSPORIUM","yes"
"HELMINTHOSTACHYS","no"
"HELVELLA","yes"
"HEMANDIA","yes"
"HEMEROCALLUS","yes"
"HEMIARIA","yes"
"HEMIDESMUS","no"
"HEMISELMIS","yes"
"HEMIZONIA","no"
"HEMSLEYA","no"
"HERACLEUM","no"
"HERBA","yes"
"HERNANDIA","no"
"HERNIARIA","no"
"HESPERATHUSA","yes"
"HESPERIS","no"
"HETEROCHORDARIA","yes"
"HETEROCONDYLUS","no"
"HETERODEA","yes"
"HETERODENDRON","yes"
"HETEROSMILAX","no"
"HETEROTHALAMUS","no"
"HETEROTHECA","no"
"HETEROTROPHA","yes"
"HEVEA","no"
"HEXALOBUS","no"
"HEYNEA","no"
"HIBISCUS","no"
"HIERACIUM","no"
"HIMANTANDRA","yes"
"HIMANTHALIA","yes"
"HINTERHUBERA","no"
"HIPPEASTRUM","no"
"HIPPOCRATEA","no"
"HIPPOMANE","no"
"HIPPOPHAE","yes"
"HIRSCHFELDIA","no"
"HISTIOPTERIS","no"
"HODGKINSONIA","no"
"HOLARRHENA","no"
"HOLODEIMA","yes"
"HOLOPTELEA","no"
"HOLOSTACHYS","yes"
"HOLOTHURIA","yes"
"HOMALIUM","no"
"HOMERIA","yes"
"HOMOGYNE","no"
"HOPEA","no"
"HORDEUM","no"
"HORTIA","no"
"HOSTA","no"
"HOVEA","no"
"HOVENIA","no"
"HOYA","no"
"HUMBERTIA","no"
"HUMIRIANTHERA","yes"
"HUMULUS","no"
"HUNNEMANNIA","no"
"HUNTERIA","no"
"HUPERZIA","no"
"HURA","yes"
"HYBANTHUS","no"
"HYDNOCARPA","yes"
"HYDRANGEA","no"
"HYDRASTIS","yes"
"HYDROCOTYLE","no"
"HYELLA","yes"
"HYAENANCHE","no"
"HYGROPHOROPSIS","yes"
"HYLOCOMIUM","no"
"HYMENAEA","no"
"HYMENOCALLIS","no"
"HYMENOCARDIA","no"
"HYMENOCLEA","no"
"HYMENODICTYON","no"
"HYMENOXYS","no"
"HYOSCYAMUS","no"
"HYPECOUM","no"
"HYPERICUM","no"
"HYPHOLOMA","yes"
"HYPNEA","yes"
"HYPOCHOERIS","no"
"HYPODEMATIUM","no"
"HYPOESTES","no"
"HYPOGYMNIA","yes"
"HYPOLEPIS","no"
"HYPOXIS","no"
"HYPOXYLON","yes"
"HYSSOPUS","no"
"HYPTIS","no"
"HYSTERIOPSIS","yes"
"IANTHELLA","yes"
"IBERIS","no"
"IBOZA","yes"
"ICACINA","no"
"ICHTHYOTHERE","no"
"IGNATIA","yes"
"ILEX","yes"
"ILLICIUM","yes"
"ILLIGERA","no"
"IMPATIENS","yes"
"IMPERATA","no"
"INCARVILLEA","no"
"INDIGOFERA","no"
"INERTIA","yes"
"INEZIA","no"
"INOLOMA","yes"
"INONOTUS","yes"
"INULA","no"
"IPHIGENIA","yes"
"IPHIONA","no"
"IPOMOEA","no"
"IRESINE","no"
"IRIS","yes"
"IRYANTHERA","no"
"ISMENE","yes"
"ISOCARPHA","no"
"ISOCOMA","no"
"ISODON","no"
"ISOLONA","no"
"ISOMOPSIS","yes"
"ISOPLEXIS","yes"
"ISOPYRUM","no"
"ISOTOMA","no"
"ITEA","no"
"IVA","yes"
"IXORA","no"
"JABOROSA","no"
"JACARANDA","yes"
"JACQUINIA","no"
"JAMESONIA","no"
"JASMINUM","no"
"JASONIA","no"
"JATEORHIZA","no"
"JATROPHA","no"
"JAVA","yes"
"JUGLANS","no"
"JULBERNARDIA","no"
"JULOCROTON","yes"
"JUNCUS","no"
"JUNGERMANNIA","no"
"JUNGIA","no"
"JUNIPERUS","no"
"JURINEA","no"
"JUSTICIA","no"
"KADSURA","no"
"KALANCHOE","no"
"KALLSTROEMIA","no"
"KALMIA","yes"
"KALOPANAX","no"
"KAUNEA","yes"
"KAYEA","no"
"KENTROPHYLLUM","no"
"KHAYA","no"
"KIBATALIA","no"
"KICKXIA","no"
"KIELMEYERA","no"
"KIGELIA","yes"
"KINGIELLA","yes"
"KLEINIA","no"
"KNAUTIA","no"
"KNEMA","no"
"KNIGHTIA","yes"
"KOANOPHYLLON","no"
"KOELREUTERIA","no"
"KOKOONA","yes"
"KOMAROVIA","yes"
"KOPSIA","no"
"KOROLKOWIA","yes"
"KRAMERIA","no"
"KREYSIA","yes"
"KYDIA","no"
"LABURNUM","yes"
"LACHENALIA","no"
"LACHNANTHES","no"
"LACTARIUS","yes"
"LACTUCA","yes"
"LACTUCARIUM","yes"
"LADYGINIA","no"
"LAETREA","yes"
"LAGASCEA","no"
"LAGENARIA","no"
"LAGERSTROEMIA","yes"
"LAGGERA","no"
"LAGOCHILUS","no"
"LALLEMANTIA","no"
"LAMIASTRUM","yes"
"LAMINARIA","yes"
"LAMIUM","no"
"LAMPROLOBIUM","no"
"LANSIUM","yes"
"LANTANA","no"
"LANUROCERASUS","yes"
"LAPPULA","no"
"LARIX","yes"
"LARREA","no"
"LASALLIA","yes"
"LASER","yes"
"LASERPITIUM","no"
"LASIANTHERA","no"
"LASIOCORYS","yes"
"LASIODISCUS","no"
"LASIOLAENA","no"
"LASIOSPERMUM","no"
"LASTREA","no"
"LATHAEA","yes"
"LATHYRUS","no"
"LAUNAEA","no"
"LAUREALIA","yes"
"LAURENCIA","yes"
"LAURUS","no"
"LAVANDULA","no"
"LAWSONIA","no"
"LECANORA","yes"
"LECCENORA","yes"
"LECCINUM","yes"
"LECIDEA","yes"
"LEDEBOURIELLA","yes"
"LEDUM","no"
"LEGNEPHORA","yes"
"LEMAIREOCEREUS","no"
"LEMMAPHYLLUM","no"
"LEMNA","no"
"LENS","yes"
"LENTINUS","yes"
"LENZITES","yes"
"LEONOTIS","no"
"LEONTICE","no"
"LEONURUS","no"
"LEPIDOCORYPHANTHA","yes"
"LEPIDOPHORUM","no"
"LEPIDOSPARTIUM","yes"
"LEPIDOTRICHILIA","no"
"LEPIDOZIA","no"
"LEPISTA","yes"
"LEPRA","yes"
"LEPRARIA","yes"
"LEPTACTINIA","yes"
"LEPTADENIA","no"
"LEPTINOTARSA","yes"
"LEPTOLAENA","no"
"LEPTORHABDOS","no"
"LEPTOSPERMUM","no"
"LEPTOSTIGMA","no"
"LESPEDEZA","no"
"LESQUERELLA","no"
"LETHARIA","yes"
"LEUCAENA","no"
"LEUCANTHEMELLA","no"
"LEUCANTHEMOPSIS","no"
"LEUCANTHEMUM","no"
"LEUCOCARPUS","no"
"LEUCOCENDRON","yes"
"LEUCOJUM","no"
"LEUCOPAXILLUS","yes"
"LEUCOSCEPTRUM","no"
"LEUCOSPERMUM","no"
"LEUCOTHOE","no"
"XVIII","yes"
"LEVISTICUM","no"
"LIABUM","no"
"LIATRIS","no"
"LIBANOTIS","no"
"LIBOCEDRUS","no"
"LIBOTHAMNUS","yes"
"LICARIA","no"
"LIDBECKIA","no"
"LIGULARIA","no"
"LIGUSTICUM","no"
"LIGUSTRUM","no"
"LILIUM","no"
"LIMACIA","no"
"LINACIOPSIS","yes"
"LINANTHEMUM","yes"
"LINARIA","no"
"LINDBERGIA","no"
"LINDELOFIA","no"
"LINDERA","no"
"LINDHEIMERA","no"
"LINEARIS","yes"
"LIPARIS","no"
"LIPPIA","no"
"LIQUIDAMBER","yes"
"LIRIODENDRON","no"
"LITCHIA","yes"
"LITHOCARPUS","no"
"LITHOSPERMUM","no"
"LITSEA","no"
"LITTORIA","yes"
"LOBARIA","yes"
"LOBELIA","no"
"LOBESIA","yes"
"LOBIVIA","no"
"LOCHNERA","yes"
"LOLIUM","no"
"LOMARTIUM","yes"
"LOMATHOGONIUM","yes"
"LONCHOCARPUS","no"
"LONICERA","no"
"LOPHOCEREUS","no"
"LOPHOLAENA","no"
"LOPHOMYRTUS","no"
"LOPHOPHORA","no"
"LORANTHUS","no"
"LOROGLOSSUM","no"
"LOROSTEMON","no"
"LOTUS","yes"
"LUDWIGIA","no"
"LUFFA","no"
"LUFFARIELLA","yes"
"LUNARIA","no"
"LUNASIA","yes"
"LUNULARIA","no"
"LUPINUS","no"
"LYCEUM","yes"
"LYCHIUM","yes"
"LYCHNOPHORA","no"
"LYCICHITUM","yes"
"LYCIUM","no"
"LYCOPERSICON","no"
"LYCOPODIUM","yes"
"LYCORIS","no"
"LYGODIUM","no"
"LYNGBYA","yes"
"LYONIA","no"
"LYSICHITON","no"
"LYTHRUM","no"
"LYTTA","yes"
"MAACKIA","no"
"MACARANGA","no"
"MACFADYENA","yes"
"MACHAERANTHERA","no"
"MACHAERIUM","no"
"MACHAEROCEREUS","yes"
"MACHILUS","no"
"MACKLINAYA","yes"
"MACLURA","no"
"MACOWANIA","no"
"MACROCYSTIS","yes"
"MACROPIPER","no"
"MACRORUNGIA","yes"
"MACROTOMIA","yes"
"MACROZAMIA","no"
"MACUNA","yes"
"MADHUCA","no"
"MAESA","no"
"MAGNOLIA","no"
"MAGUEY","yes"
"MAGYDARIS","yes"
"MAHONIA","no"
"MAJIDEA","no"
"MAJORANA","yes"
"MAKINOA","no"
"MALABAILA","no"
"MALACOCARPUS","no"
"MALAPROUNEA","yes"
"MALAXIS","no"
"MALLOTUS","no"
"MALOUETIA","no"
"MALUS","no"
"MALVA","yes"
"MAMMEA","no"
"MANDRAGORA","no"
"MANFREDA","no"
"MANGIFERA","no"
"MANILA","yes"
"MANILKARA","no"
"MANNIA","no"
"MANSONIA","no"
"MAPPIA","no"
"MARAH","no"
"MARASMIUS","yes"
"MARCHANTIA","no"
"MARGINOSPORUM","yes"
"MARGOTIA","yes"
"MARKHAMIA","no"
"MARRUBIUM","no"
"MARSDENIA","no"
"MARSILIA","yes"
"MARSUPELLA","no"
"MARTENSIA","yes"
"MATRICARIA","no"
"MATTEUCIA","yes"
"MATTHIOLA","no"
"MAYACA","no"
"MAYTENUS","no"
"MECANOPSIS","yes"
"MEDICAGO","no"
"MEDICOSMA","no"
"MEIOCARPUM","yes"
"MELALEUCA","no"
"MELAMPODIUM","no"
"MELAMPYRUM","no"
"MELANDRUM","yes"
"MELANOSELENIUM","yes"
"MELANOXYLON","no"
"MELASMA","no"
"MELASTOMA","no"
"MELIA","no"
"MELIANTHUS","yes"
"MELICOPE","no"
"MELILOTUS","no"
"MELINIS","no"
"MELISSA","yes"
"MELITTIS","no"
"MELOCHIA","no"
"MELODINUS","no"
"MENEGAZZIA","yes"
"MENISPERMUM","no"
"MENTHA","no"
"MENTZELIA","no"
"MENYANTHES","no"
"MERATIA","yes"
"MERCURIALIS","no"
"MERENDERA","no"
"MERIANDRA","no"
"MERILLIA","yes"
"MERISTROTROPIS","yes"
"MESEMBRYANTHEMUM","no"
"MESPILUS","no"
"MESUA","no"
"METANARTHECIUM","no"
"METAPLEXIS","no"
"METASEQUOIA","no"
"METROSIDEROS","no"
"METZGERIA","no"
"MICARIA","yes"
"MICHELIA","no"
"MICRANDROPSIS","no"
"MICROCIONA","yes"
"MICROGLOSSA","no"
"MICROLEPIS","no"
"MICROMELUM","no"
"MICROMERIS","yes"
"MICROPLUMERIA","no"
"MIKANIA","no"
"MILLETIA","yes"
"MIMOSA","yes"
"MIMULUS","no"
"MIMUSOPS","no"
"MINNEOLA","yes"
"MIOPORUS","yes"
"MIRABILIS","no"
"MITRAGYNA","no"
"MNIOBRYUM","no"
"MOCHIA","yes"
"MOGHANIA","no"
"MOLLUGO","no"
"MOMORDICA","no"
"MONACHOSORUM","no"
"MONARDA","no"
"MONASCUS","yes"
"MONECHMA","no"
"MONNIERA","no"
"MONOCLEA","yes"
"MONODORA","no"
"MONOGYNE","yes"
"MONOMORIUM","yes"
"MONOTROPA","no"
"MONTANOA","no"
"MOQUINEA","yes"
"MORA","yes"
"MORAEA","no"
"MORARDA","yes"
"MORCHELLA","yes"
"MORINDA","no"
"MORITHAMNUS","no"
"MORONOBEA","no"
"MORTONIA","no"
"MORUS","no"
"MOSTEA","yes"
"MUCUNA","no"
"MUEHLENBECKIA","no"
"MUNCUNA","yes"
"MUNDULEA","no"
"MUNNOZIA","no"
"MUNTAFERA","yes"
"MURRAYA","no"
"MUSA","yes"
"MUSANGA","yes"
"MUSCARI","no"
"MUSSAENDA","no"
"MUTISIA","no"
"MYCENA","yes"
"MYCOCALIA","yes"
"MYLIA","no"
"MYOPORUM","no"
"MYRCIA","no"
"MYRIANTHUS","no"
"MYRICA","no"
"MYRICARIA","no"
"MYRISTICA","no"
"MYROXYLON","no"
"MYRRHIS","no"
"MYRTILLOCACTUS","no"
"MYRTOPSIS","yes"
"MYRTUS","no"
"MYXOPHYTA","yes"
"MYZODENDRON","yes"
"NAEMATOLOMA","yes"
"NANDINA","no"
"NANOPHYTON","no"
"NAPOLEONAEA","no"
"NARCISSUS","yes"
"NARDIA","no"
"NARDOSMIA","yes"
"NARDOSTACHYS","no"
"NARTHECIUM","no"
"NAUCLEA","no"
"NAUMBERGIA","yes"
"NAVANAX","yes"
"NAVICULA","yes"
"NECTANDRA","no"
"NEISOSPERMA","yes"
"NELUMBO","no"
"NEMALION","yes"
"NEMUARON","no"
"NEOCALLITROPIS","yes"
"NEOCHAMAELEA","no"
"NEOLITSEA","no"
"NEOLLOYDIA","no"
"NEORAUTANENIA","no"
"NEPETA","no"
"NERINE","no"
"NERIUM","no"
"NERVILIA","no"
"NEUROLAENA","no"
"NEUROSPORA","yes"
"NEWCASTELIA","no"
"NICANDRA","no"
"NICOTIANA","no"
"NIDORELLA","no"
"NIGELLA","no"
"NITRARIA","no"
"NOLINA","no"
"NOTHOFAGUS","no"
"NOTHOLAENA","no"
"NOTONIA","no"
"NUMMULARIA","no"
"NUPHAR","no"
"NYCTANTHES","no"
"NYMANIA","yes"
"NYMPHAEA","no"
"OCHROCARPUS","yes"
"OCHROSIA","no"
"OCHTODES","yes"
"OCIMUM","no"
"OCOTEA","no"
"ODONTEA","yes"
"ODONTITES","no"
"OENANTHE","no"
"OENOTHERA","no"
"OIDIODENDRON","yes"
"OKOUBAKA","yes"
"OLAX","no"
"OLDENLANDIA","no"
"OLEA","yes"
"OLEANDRA","no"
"OLEARIA","no"
"OLEUM","yes"
"OLIVIA","yes"
"ONCINOTIS","no"
"ONOBRYCHIS","no"
"ONOCERIS","yes"
"ONOCLEA","no"
"ONONIS","no"
"ONOPORDON","yes"
"ONOSMA","no"
"ONYCHIUM","no"
"OPERCULINA","no"
"OPHIOGLOSSUM","no"
"OPHIOPOGON","no"
"OPHIORRHIZA","no"
"OPHOSORIA","yes"
"OPHYROSPORUS","yes"
"OPLOPANAX","no"
"OPUNTIA","no"
"ORCHIS","no"
"ORICIA","yes"
"DIMERIC QUINOLONE","yes"
"ORICIOPSIS","yes"
"ORIGANUM","no"
"ORIXA","no"
"ORLANDO","yes"
"ORMENSIS","yes"
"ORMOSIA","no"
"ORNITHOGLOSSUM","no"
"OROBANCHE","no"
"OROBUS","no"
"OROXYLUM","no"
"ORTHENTHERA","yes"
"ORTHOPRETYGIUM","yes"
"ORTHOSIPHON","no"
"ORTHOSPHENIA","no"
"ORYCTES","yes"
"ORYZA","no"
"OSCILLATORIA","yes"
"OSMANTHUS","no"
"OSMITOPSIS","no"
"OSMUNDA","no"
"OSTEOSPERMUM","no"
"OSTODES","no"
"OSTRYODERIA","yes"
